actor,degree,type,top_driver,driver_diversity,total_mentions
Ministry of Finance (MOFPED),11,Statutory Body,procurement_irregularities,2,11
Planning (NPA/MOFPED),11,Statutory Body,procurement_irregularities,2,11
Ministry of Agriculture (MAAIF),9,Statutory Body,claims_and_liabilities,2,9
Uganda National Roads Authority (UNRA),8,Contractor,procurement_irregularities,2,8
Authority Kis Kalangala Infrastructure Services Kopgt Kalang,6,Statutory Body,procurement_irregularities,1,6
Limited Uwep Uganda Women Empowerment Project Vfm Value For ,6,Contractor,procurement_irregularities,1,6
Grant Dmfas Debt Management And Financial Analysis System Ds,6,Funding Source,procurement_irregularities,1,6
Grant Eacop East African Crude Oil Pipeline Eccmis Electroni,6,Funding Source,procurement_irregularities,1,6
Ministry of Energy (MEMD),4,Statutory Body,procurement_irregularities,1,4
Company Limited Nicu New-Born Intensive Care Units Nira Nati,4,Contractor,procurement_irregularities,1,4
Limited Opm Office Of The Prime Minister Osbc One Stop,4,Contractor,procurement_irregularities,1,4
Grant Nsg-Pwd National Special Grant For Persons With Disabi,4,Funding Source,procurement_irregularities,1,4
Uganda Revenue Authority (URA),3,Contractor,claims_and_liabilities,1,3
Ministry Of Gender Labour And Social Development Mou Memoran,2,Statutory Body,claims_and_liabilities,1,2
Commission Ics Infra Consulting Services Ict Information Com,2,Statutory Body,claims_and_liabilities,1,2
