title,primary_theme,confidence
"Uganda Secondary Education Expansion Project Report of the Auditor General, 2024",Power Transmission,0.09090909090909091
"Uganda Secondary Education Expansion Project Report of the Auditor General, 2023",Power Transmission,0.09090909090909091
"DANIDA DFID project under Uganda Programme for Governance, Rights, Accountability and Democracy (UPGRADE) at the Inspectorate of Government Report of the Auditor General, 2023",Unclassified (non-infrastructure),0.0
"Energy for Rural Transformation Project Phase III- Under the Rural Electrification Programme (ERT III- REP), Report of the Auditor General, 2023",Rural Energy,0.7777777777777778
"Energy for Rural Transformation Project- Phase III (ERT III-PCU) Report of the Auditor General, 2023",Rural Energy,0.5555555555555556
"Grid Expansion and Reinforcement Project (GERP) Report of the Auditor General, 2023",Power Transmission,0.18181818181818182
"Kampala Institutional and Infrastructure Development Project II Report of the Auditor General, 2022",Unclassified (non-infrastructure),0.0
"National Water and Sewerage Corporation Kampala Water Lake Victoria Water and Sanitation (KW LV WATSAN I) Report of the Auditor General, 2022",Water & Environment,0.36363636363636365
"National Water and Sewerage Corporation Kampala Water Lake Victoria Water and Sanitation (KW LV WATSAN II) Report of the Auditor General, 2022",Water & Environment,0.36363636363636365
"Water Supply and Sanitation in Refugee Hosting Communities in Northern Uganda funded by (KFW) project implemented by MoWE Report of the Auditor General, 2022",Water & Environment,0.2727272727272727
"Water Supply and Sanitation Programme II (WSSP II) implemented by MoWE Report of the Auditor General, 2022",Water & Environment,0.2727272727272727
"Energy for Rural Transformation Phase III Project (ERT III) implemented by UECCCL Report of the Auditor General, 2022",Rural Energy,0.5555555555555556
"Energy for Rural Transformation Project III (ERT III) Rural Electrification Programme Report of the Auditor General, 2022",Rural Energy,0.7777777777777778
"Energy for Rural Transformation PSFU Component Report of the Auditor General, 2022",Rural Energy,0.3333333333333333
"Grid Expansion and Reinforcement Project (GERP) Report of the Auditor General, 2022",Power Transmission,0.18181818181818182
"South Western Cluster Water and Sanitation Project Implemented by National Water and Sewerage Corporation Report of the Auditor General, 2022",Water & Environment,0.2727272727272727
"Fuel Marking and Quality Monitoring Program Implemented Ministry of Energy and Mineral Development Report of the Auditor General, 2022",Rural Energy,0.1111111111111111
