project,title,url,source
Kampala-Entebbe Expressway,Driver survives Valentine's day crash on Kampala—Enteb - NewVision.co.ug,https://news.google.com/rss/articles/CBMipwFBVV95cUxQZEYzQ0loYldCOTd0QXZaV29VdktKUmtGLUdRaW9aeU41ZXdwM0RCTlVWdUQ4dzNlQ01NeHA1TzVPSXEzeG5CMDJvNFltanI4eTZYamhzOGJjQTRVY1lqOFlFYmZMT3dEcHEzRGt4QnZrSC1xN2JnSGs4OEhBM2NOWEQxMmVndlFETEYzOVdpNU10VjBmbWJTUTcxX3F1cDFQZ2NFLXltQQ?oc=5,Google News
Kampala-Entebbe Expressway,FACT-CHECK: Viral Photo Claiming to Show Crack on Kampala-Entebbe Expressway Is FALSE - Nilepost News,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPc0RuUk1iUm90QnU0NGJENEtPdExHdmF4YXNTdEJIZV8tRWhxdUtPbkNMVWd4VHZVeldxblZTeTNhb1c1Z0lnTnNrUmc5bTdtaUlsa0s4U1M3NjQ0X1VodGZ2YnA3dTh4S1UyWktKb18xTjFiT1lHMUU0TjZaT0UtempabTY5b2hxclRqb3oydkg5M2NnbFhqbElYN09iZ3BWa1JMRTA2MXVKRkFFRzhKV2w1enhzY1lQcUJZ?oc=5,Google News
Kampala-Entebbe Expressway,Unanswered questions about new Auto EPS - Daily Monitor,https://news.google.com/rss/articles/CBMimgFBVV95cUxNVkljblZyc3NESlY4RjJKNUYwRlpSX0dJakR2cU16aHZ0MkxiQmpGNjRQUWlMaFFWMklubzNyZTVlbDJXSnRqcHFPRTgzZ1RvYVlUdTkxNXJuZzFmQ2FleWYzelRabV9xalN1dWZUemtQZ2V5elhzT2pPQWo2Rlh1N2xlNE9TTTRMdXROSEpRekRILUZlYURJdXNR?oc=5,Google News
Karuma Hydropower Dam,Karuma dam pushes UEGCL revenue gains up by 40 per cent - Daily Monitor,https://news.google.com/rss/articles/CBMirwFBVV95cUxQNEp3V3hMOVBDbG5SbjZ2ZERsaG80TVhfY2g1WExYR3ZmeXBnVENBbnh0MnhoaXVmeVM4YmZFUzkxdjF4V1NkaTFNR2I0MVJfMkpEaUxrMXg3aUx3QXcxdkF6TktiTE1SMTQ0QVdaWDNCR1MtMnFOakQyVTlMOS1kd3BiaTYtSmtsRWUyOFlpSHVSMWpoUUJkUXZNdFhYWjVuajl3M0Y5cUlyT21jOHNr?oc=5,Google News
Karuma Hydropower Dam,UEGCL struggles with Karuma dam costs as profit drops - The Independent Uganda,https://news.google.com/rss/articles/CBMijAFBVV95cUxPaWZadXR5TTlKWW5KOWk1TnZ6S0FMeTZxbmhDUGd3b1FTWW9OcXVNUnhKaHBFcEtmODN4THFFVndPVGNvSEZRTG5CVGdSaFpUN0NES2ZqUU81Q2M4cHRpeUMyMzN2VEc2TnBqaU4yUW1mak9wQ1BCMjhNOUlTcGNtYW9iOGZIRHNwazFVNQ?oc=5,Google News
Karuma Hydropower Dam,Auditor General warns Karuma power plant may struggle to repay UGX 5.3 trillion loan - NTV Uganda,https://news.google.com/rss/articles/CBMivgFBVV95cUxON0V3ekZHUVlNU3dkbmFGM1p0TWRBWEU3RDhFS0pNTTVKT3ZBX1NTU2xyUWFEMkJmbmJ2SXN4cHlWdnBTSXduLVFjeFRRQ0RXaTBQOEFRN3dYX0J0LWd0VE1RU3EwMjhtSktMTmpmNjAxa1Qyd3E1cG00WklzLUw5T0pzZnphUE5HcFVWeGFGR0lGYTlKYk1va1lzZXI5WGsyWnpPbjBLU0RvS2l6TnRpUGR4RmpsaGZON1VUMTBR?oc=5,Google News
Isimba Hydropower Dam,‘Shoddy’ Shs 2 trillion Isimba dam could be washed away soon – experts - Uganda Observer,https://news.google.com/rss/articles/CBMijgFBVV95cUxNaG1ZZFlQUGowcTBEWVNCdXhrU3A4enNoNmZZV0ljeGxkWE9ESTdUWHE1akhTQno0dEI3em5temxBZXVhOUl3TzFpWm11dU5kY2JzTWd6SDlMNmJyWWhvTU00bk9KSWp6NnNDX0dJeXQxaVlKZ285M2MzQXJrdEtWUGZaeW5lTlYwQ3NpSEhn?oc=5,Google News
Isimba Hydropower Dam,Uganda: Why Isimba Dam Is Worrying Electricity Generation Company Ltd's CEO - allAfrica.com,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1xbVdraEFnUUJfczBpZjV4ZnlTVlgzMWtfaHBCcDdLVmRZdmlMNGJqcGNHc2hhcC1tM3R4WThHc0dJOGNRb0pVRU5STmJPZWt0SVFTWGZvekRNX1U?oc=5,Google News
Isimba Hydropower Dam,UEGCL struggles with Karuma dam costs as profit drops - The Independent Uganda,https://news.google.com/rss/articles/CBMijAFBVV95cUxPaWZadXR5TTlKWW5KOWk1TnZ6S0FMeTZxbmhDUGd3b1FTWW9OcXVNUnhKaHBFcEtmODN4THFFVndPVGNvSEZRTG5CVGdSaFpUN0NES2ZqUU81Q2M4cHRpeUMyMzN2VEc2TnBqaU4yUW1mak9wQ1BCMjhNOUlTcGNtYW9iOGZIRHNwazFVNQ?oc=5,Google News
Malaba-Kampala SGR,Uganda Secures Financing for Standard Gauge Railway Project - Nilepost News,https://news.google.com/rss/articles/CBMimgFBVV95cUxQYzNUcTF1RHRiYXBvVWhSbnRTNVRPd3RyaE9PSm90VndJWXFNZDFOeGJPd2xUdEU3LTNZWjJDM21vR0ZrZ1JBZVd4V2FaQnJ1VDVQZHRwY1VrSFdBNWNENEZicHBzRERQQnBpSG5NSE9yUzBDczByWjdFRHY2UDdfSnN4TEJ6QkdtbTNtaHh1QjlXaTVVRlRYOUt3?oc=5,Google News
