,label,frequency_mentions,financial_exposure_index,trend_slope,trend_escalation_only,connectivity_strength,score_frequency,score_financial,score_trend,score_connectivity,combined_effect_score
miscellaneous_administrative,Miscellaneous Administrative,288.0,24.01,3.238,3.238,5.436830617139476,100.0,31.51745865056445,100.0,100.0,82.87936466264111
procurement_irregularities,Procurement Irregularities,237.0,29.56,2.917,2.917,1.533167974060735,82.04225352112677,38.802835389866104,90.08647313156268,28.19966414306637,62.07272503478671
delays_and_time_overruns,Delays & Time Overruns,220.0,76.18,0.786,0.786,0.8644984335278859,76.05633802816901,100.0,24.274243360098826,15.900779229769926,59.6547228278329
infrastructure_and_equipment,Infrastructure & Equipment,122.0,0.0,0.714,0.714,3.5109128843301924,41.54929577464789,0.0,22.05064854848672,64.57646249383096,31.867675729590296
delayed_payments,Delayed Payments,35.0,36.53,-0.179,0.0,4.309335519345371,10.915492957746478,47.95221843003413,0.0,79.26190501061953,31.660858144843704
general_project_issues,General Project Issues,62.0,11.2,-0.881,0.0,4.334362153498152,20.422535211267608,14.702021527960094,0.0,79.72222161628837,26.76783702919136
contract_management,Contract Management,23.0,12.56,-0.107,0.0,5.0217619336100485,6.690140845070422,16.48726699921239,0.0,92.36561311619799,24.936488668817347
budget_and_funding_issues,Budget & Funding Issues,126.0,7.09,-0.357,0.0,1.5764742383522647,42.95774647887324,9.306904699396167,0.0,28.996199244877484,23.16117729143017
compliance_and_regulatory,Compliance & Regulatory,26.0,0.0,-0.429,0.0,4.941841965917154,7.746478873239436,0.0,0.0,90.89563964597532,20.89039553482887
human_resources,Human Resources,48.0,3.96,0.738,0.738,1.3929923340070354,15.492957746478872,5.198214754528747,22.79184681902409,25.6214039410325,16.40473905191111
land_and_right_of_way,Land & Right Of Way,19.0,13.75,-0.393,0.0,1.3475920006674729,5.28169014084507,18.04935678655815,0.0,24.786352482992978,11.318201242533908
governance_and_controls,Governance & Controls,23.0,3.38,0.202,0.202,0.0,6.690140845070422,4.436860068259385,6.238418777022854,0.0,4.698448068244065
claims_and_liabilities,Claims & Liabilities,4.0,0.0,0.048,0.048,0.6797148816441656,0.0,0.0,1.4823965410747375,12.502042633099162,2.79688783483478
