model,component,rank,term,weight
FA,1,1,delayed,0.004236827663199851
FA,1,2,procurement,0.004203748442795644
FA,1,3,road,0.0033413113124170406
FA,1,4,construction,0.003299219735969842
FA,1,5,contract,0.0032973242728879274
FA,1,6,ugx,0.002754539295405754
FA,1,7,works,0.002651477783732616
FA,1,8,water,0.0023138360992088223
FA,1,9,projects,0.002243380900262053
FA,1,10,noted,0.0022070083585084966
FA,1,11,000,0.002187252414514603
FA,1,12,limited,0.002124562982801316
FA,2,1,delayed,0.004333310198897773
FA,2,2,construction,0.0034951799928376118
FA,2,3,projects,0.002957396597938368
FA,2,4,works,0.0027919257910650843
FA,2,5,infrastructure,0.002537808221464096
FA,2,6,limited,0.002454866218541915
FA,2,7,000,0.0023364060191675873
FA,2,8,water,0.002335654496294195
FA,2,9,noted,0.00227453457420201
FA,2,10,delay,0.002008023552434896
FA,2,11,equipment,0.0019998327145257745
FA,2,12,attributed,0.0019904729492848518
FA,3,1,limited,0.032153534312596654
FA,3,2,nec,0.024938277065216594
FA,3,3,nec luwero,0.013269384233302109
FA,3,4,luwero industries,0.013269384233302109
FA,3,5,industries limited,0.012885078464817235
FA,3,6,luwero,0.012859102090118509
FA,3,7,industries,0.012717137321466314
FA,3,8,uganda,0.012134835801436313
FA,3,9,corporation,0.00974252737173286
FA,3,10,company,0.00822893438231483
FA,3,11,company limited,0.0077298533130559415
FA,3,12,000,0.007087039501967534
FA,4,1,procurement,0.005098079656367185
FA,4,2,delayed,0.004771734447284108
FA,4,3,contract,0.004123711957146481
FA,4,4,road,0.003984023237052033
FA,4,5,construction,0.003655182807390779
FA,4,6,infrastructure,0.0031921108996968745
FA,4,7,works,0.0029503159669593
FA,4,8,government,0.0026860790112015693
FA,4,9,water,0.002661352524229496
FA,4,10,accounting,0.0026505329027581245
FA,4,11,funds,0.0025630876350026216
FA,4,12,equipment,0.002200208162919503
FA,5,1,delayed,0.004036730411000695
FA,5,2,contract,0.0031049567346116145
FA,5,3,projects,0.0028021923828627925
FA,5,4,road,0.002709452996796212
FA,5,5,construction,0.0025834994360128196
FA,5,6,funds,0.002510300202775255
FA,5,7,uganda,0.002385787598565164
FA,5,8,company,0.0023792524269076404
FA,5,9,works,0.002316596990000193
FA,5,10,limited,0.0022993669470634287
FA,5,11,ugx,0.002174691239929175
FA,5,12,accounting,0.0021522034964617477
FA,6,1,delayed,0.01224363342742305
FA,6,2,procurement,0.01222913329027727
FA,6,3,road,0.009516327163054531
FA,6,4,contract,0.00910537041038478
FA,6,5,accounting,0.007786686714274922
FA,6,6,funds,0.006821704380135432
FA,6,7,infrastructure,0.0063920461355058775
FA,6,8,accounting officers,0.005984223158894952
FA,6,9,officers,0.005965927570297278
FA,6,10,projects,0.005891648670761508
FA,6,11,implementation,0.005886910539738622
FA,6,12,delays,0.005405097769320529
LDA,1,1,procurement,118.85280511300881
LDA,1,2,25,56.81079404815876
LDA,1,3,2024,55.16495282315153
LDA,1,4,audit,53.01822428141195
LDA,1,5,100,51.70655567170984
LDA,1,6,management,48.925065227452606
LDA,1,7,2024 25,40.16626322159676
LDA,1,8,capacity,39.72662722644486
LDA,1,9,2021,37.74733526984824
LDA,1,10,reports,36.91329243675582
LDA,1,11,performance,35.31045343869394
LDA,1,12,compliance,35.16381649032766
LDA,2,1,limited,299.65654804724073
LDA,2,2,uganda,291.3288041664836
LDA,2,3,company,207.7706885529641
LDA,2,4,electricity,143.16334812871807
LDA,2,5,corporation,115.08896328184206
LDA,2,6,nec,108.1656501049113
LDA,2,7,uganda electricity,98.16538305103371
LDA,2,8,company limited,97.16521958663385
LDA,2,9,national,81.00623630955671
LDA,2,10,construction,71.11110670487615
LDA,2,11,transmission,63.162309612173054
LDA,2,12,management,59.81015368593075
LDA,3,1,development,235.31367153408468
LDA,3,2,infrastructure,182.92014215773403
LDA,3,3,ministry,171.60753521324412
LDA,3,4,audit,131.71537861308664
LDA,3,5,uganda,128.44057972888476
LDA,3,6,government,102.99880926745142
LDA,3,7,management,99.83083517814168
LDA,3,8,national,85.64252297650384
LDA,3,9,water,79.36934989863778
LDA,3,10,financial,79.25030083024052
LDA,3,11,services,76.38577416254782
LDA,3,12,year,72.75946502754357
LDA,4,1,000,300.16405680345326
LDA,4,2,road,140.12125662029862
LDA,4,3,uganda,132.13814273414815
LDA,4,4,national,108.84814703155611
LDA,4,5,000 000,85.1651041655686
LDA,4,6,authority,76.15308183317437
LDA,4,7,land,54.29198586659228
LDA,4,8,roads,50.33557440530011
LDA,4,9,bridge,48.16366404901522
LDA,4,10,maintenance,47.1271790537202
LDA,4,11,ugx,42.999973054930045
LDA,4,12,fund,40.03573768385205
LDA,5,1,accounting,145.1645681105782
LDA,5,2,officer,101.16484291095769
LDA,5,3,funds,83.52231383504517
LDA,5,4,procurement,80.79482018410302
LDA,5,5,accounting officer,80.16446040488977
LDA,5,6,act,63.161740688921554
LDA,5,7,officers,61.16502401474502
LDA,5,8,delayed,57.43967076453241
LDA,5,9,accounting officers,57.16561715558599
LDA,5,10,attributed,55.64705642750472
LDA,5,11,advised,54.828636096584844
LDA,5,12,plans,48.63905074763482
LDA,6,1,ugx,264.38538901403666
LDA,6,2,delayed,165.60139361985028
LDA,6,3,contract,137.9557956518629
LDA,6,4,construction,132.79438071622462
LDA,6,5,works,128.97618674289225
LDA,6,6,noted,110.78566047369031
LDA,6,7,project,99.98191159806258
LDA,6,8,projects,99.86760950153278
LDA,6,9,equipment,86.13221432896415
LDA,6,10,table,80.05607268500292
LDA,6,11,total,75.26703152432518
LDA,6,12,funds,74.90772164341007
