term,loading,factor,direction,abs_loading
limited,-0.028079293875046377,factor_1,Negative,0.028079293875046377
corporation,-0.02679962809850158,factor_1,Negative,0.02679962809850158
nec,-0.02633856068308368,factor_1,Negative,0.02633856068308368
sewerage,-0.020961026851636127,factor_1,Negative,0.020961026851636127
sewerage corporation,-0.020961026851636127,factor_1,Negative,0.020961026851636127
water sewerage,-0.020961026851636127,factor_1,Negative,0.020961026851636127
national water,-0.020800466833124934,factor_1,Negative,0.020800466833124934
engineering limited,-0.019438157282564497,factor_1,Negative,0.019438157282564497
works engineering,-0.019438157282564487,factor_1,Negative,0.019438157282564487
national,-0.017498387660174045,factor_1,Negative,0.017498387660174045
nec construction,-0.017040141937172976,factor_1,Negative,0.017040141937172976
engineering,-0.015709220844522833,factor_1,Negative,0.015709220844522833
municipal,-0.03400376343304517,factor_2,Negative,0.03400376343304517
support municipal,-0.026008694828010083,factor_2,Negative,0.026008694828010083
uganda support,-0.026008694828010083,factor_2,Negative,0.026008694828010083
municipal infrastructure,-0.026008694828010076,factor_2,Negative,0.026008694828010076
infrastructure development,-0.023231237166901873,factor_2,Negative,0.023231237166901873
support,-0.018362879605023936,factor_2,Negative,0.018362879605023936
development,-0.017343563401543173,factor_2,Negative,0.017343563401543173
usmid,-0.016669940333321764,factor_2,Negative,0.016669940333321764
uganda,-0.014720811924645373,factor_2,Negative,0.014720811924645373
usmid af,-0.014126674088013377,factor_2,Negative,0.014126674088013377
af,-0.014126674088013148,factor_2,Negative,0.014126674088013148
infrastructure,-0.012578504640918359,factor_2,Negative,0.012578504640918359
nec,-0.025229580628882343,factor_3,Negative,0.025229580628882343
engineering limited,-0.02284000816467468,factor_3,Negative,0.02284000816467468
works engineering,-0.022840008164674668,factor_3,Negative,0.022840008164674668
limited,-0.02087883856494423,factor_3,Negative,0.02087883856494423
engineering,-0.019275960482934004,factor_3,Negative,0.019275960482934004
nec construction,-0.019245010457135666,factor_3,Negative,0.019245010457135666
construction works,-0.01789167069160869,factor_3,Negative,0.01789167069160869
corporation,0.016021901235962328,factor_3,Positive,0.016021901235962328
works,-0.014196735459988938,factor_3,Negative,0.014196735459988938
water,0.014118207778150076,factor_3,Positive,0.014118207778150076
sewerage,0.013996556013058705,factor_3,Positive,0.013996556013058705
sewerage corporation,0.013996556013058704,factor_3,Positive,0.013996556013058704
energy mineral,-0.032065718608249735,factor_4,Negative,0.032065718608249735
mineral development,-0.031558899635848285,factor_4,Negative,0.031558899635848285
mineral,-0.030883601644445834,factor_4,Negative,0.030883601644445834
ministry energy,-0.02713411943370515,factor_4,Negative,0.02713411943370515
energy,-0.022359260317070532,factor_4,Negative,0.022359260317070532
development,-0.021219836663573632,factor_4,Negative,0.021219836663573632
ministry,-0.019158574096286136,factor_4,Negative,0.019158574096286136
petroleum,-0.011543956579594348,factor_4,Negative,0.011543956579594348
audit,-0.006478078318611942,factor_4,Negative,0.006478078318611942
money audit,-0.005676788787064744,factor_4,Negative,0.005676788787064744
delayed,0.005542518331661075,factor_4,Positive,0.005542518331661075
procurement,0.005461253869788934,factor_4,Positive,0.005461253869788934
shall,-0.024934366919115207,factor_5,Negative,0.024934366919115207
secretary,-0.023269325283283952,factor_5,Negative,0.023269325283283952
annual,-0.023023785781434866,factor_5,Negative,0.023023785781434866
secretary treasury,-0.02054494259005664,factor_5,Negative,0.02054494259005664
treasury,-0.02030997162958985,factor_5,Negative,0.02030997162958985
section,-0.01928029630187585,factor_5,Negative,0.01928029630187585
plans,-0.01874126166747495,factor_5,Negative,0.01874126166747495
accounting officer,-0.01715202457904161,factor_5,Negative,0.01715202457904161
plan,-0.016993884925798067,factor_5,Negative,0.016993884925798067
officer,-0.016986335768471306,factor_5,Negative,0.016986335768471306
act,-0.01667094610569939,factor_5,Negative,0.01667094610569939
work,-0.015807104724684162,factor_5,Negative,0.015807104724684162
uganda,-0.05130677820757514,factor_6,Negative,0.05130677820757514
limited,-0.044636046747243814,factor_6,Negative,0.044636046747243814
company,-0.03706110391649047,factor_6,Negative,0.03706110391649047
corporation,-0.028485245689082027,factor_6,Negative,0.028485245689082027
company limited,-0.024720582871169797,factor_6,Negative,0.024720582871169797
uganda electricity,-0.019055741233687647,factor_6,Negative,0.019055741233687647
electricity,-0.017521127349851444,factor_6,Negative,0.017521127349851444
printing,-0.016955282803495123,factor_6,Negative,0.016955282803495123
publishing,-0.016955282803495116,factor_6,Negative,0.016955282803495116
printing publishing,-0.016346258472938826,factor_6,Negative,0.016346258472938826
railways,-0.014389276676317944,factor_6,Negative,0.014389276676317944
railways corporation,-0.014389276676317895,factor_6,Negative,0.014389276676317895
