factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,year
-0.15946579316766657,-0.11197476554157897,-0.036396782709408146,-0.12702461296510548,-0.1452588740970431,-0.13772892062803205,2018
1.7223897551407203,2.907281128199416,-1.5224123134894616,2.0919991675263696,7.090479188821951,0.014433093787373969,2018
-0.15946579309154102,-0.11197476541384377,-0.03639678253757636,-0.1260792095989337,-0.08635541666965987,-0.22343145447594218,2018
-0.15946579329352892,-0.11197476394435164,-0.03639678317077392,-0.12259284748981526,0.4450865039088293,-0.2388329419185511,2018
-0.15946579350961618,-0.1119747655407388,-0.03639678273396621,-0.12470078403751317,-0.11135305172613125,-0.2554764084060339,2018
-0.15946579329207333,-0.11197476571246036,-0.03639678277340569,-0.12703234418105408,-0.1498994002808547,-0.1781111872200315,2018
-0.15946579340086459,-0.11197476444629058,-0.03639678248319331,-0.12765173683897,-0.14150799114092252,-0.2925656763345436,2018
-0.15946579315501302,-0.11197476499852745,-0.036396782821178426,-0.11924080924062665,-0.05312776710655608,-0.15865109502954855,2018
-0.15946579239687186,-0.11197476548197835,-0.036396783109586696,-0.12678139081256293,-0.13075435248062728,-0.04466772476918841,2018
-0.15946579090642055,-0.11197475785000609,-0.036396788485611904,-0.09499476822982851,8.097008037215542,-0.016243271694822915,2018
-0.15946579331321756,-0.11197476545294924,-0.03639678279631552,-0.12820894067761993,-0.02082110319621045,-0.26791118908027417,2018
-0.15946579261106603,-0.11197476539632638,-0.036396783338543424,-0.12818171719515173,-0.14020521622091783,-0.10437752067836553,2018
-0.15946579126138388,-0.1119747654124066,-0.03639678039071235,-0.12753238957453694,-0.12456668561021142,0.19852099996443098,2018
-0.15946579184268447,-0.1119747656369469,-0.0363967829707248,-0.1279663631011352,-0.1384091683191408,0.5377526272154378,2018
-0.15946579204372388,-0.11197476578821336,-0.03639678260759283,-0.1273926274881677,-0.10109248415951991,-0.08175739985731449,2018
-0.15946579222351467,-0.11197476490761156,-0.03639678286047294,-0.12718595583045936,-0.12429605894053429,0.16368466869008716,2018
-0.15946579193327012,-0.11197476565132158,-0.036396782919146255,-0.1231411697497061,-0.14051404025390662,0.14954610177598682,2018
-0.1594657932762219,-0.11197476565511351,-0.0363967826170211,-0.1162685466348952,-0.13864248217132855,-0.22891558384313423,2018
-0.15946579327892832,-0.11197476566258087,-0.03639678261152377,-0.11923599160546489,-0.1392525680619553,-0.2435918448816577,2018
-0.15946579252256116,-0.1119747652578107,-0.036396782637093915,-0.12041253848470788,-0.09133525898357994,0.015413803569432411,2018
-0.15946579292607166,-0.11197476585757976,-0.0363967830816912,-0.1292064249185577,-0.09303246310939092,-0.17105609208146932,2018
-0.15946579089215993,-0.11197475758763666,-0.036396788627686354,-0.0943151657328077,8.202154937456154,0.05911461511801839,2018
-0.15946579360036475,-0.11197476558146158,-0.03639678290894404,-0.1256429124704823,-0.08999287905493937,-0.18879814805941825,2018
-0.15946579318531284,-0.11197476456625031,-0.03639678215697711,-0.12571946581327603,-0.12901123831944142,-0.1326889790942101,2018
-0.15946579350262416,-0.1119747658837601,-0.03639678282668958,-0.12845971752526766,-0.054558013720528584,-0.3247407240672397,2018
-0.15946579361884852,-0.11197476601657942,-0.03639678256376669,-0.12829606050869574,-0.08729176328807835,-0.39225551808840364,2018
-0.15946579346769427,-0.1119747659265247,-0.03639678251143452,-0.12950296048791488,-0.12918924683319077,-0.3919388230287013,2018
-0.15946579327645458,-0.11197476595294979,-0.036396782732159544,-0.1288965925827346,-0.08660200075855637,-0.22271622312139838,2018
-0.15946579089215993,-0.11197475758763666,-0.036396788627686354,-0.0943151657328077,8.202154937456154,0.05911461511801839,2018
