title,url,source,date,engagement
"Ugandan infrastructure up to three times too costly, parliament finds - African Business",https://news.google.com/rss/articles/CBMiugFBVV95cUxNWmkyY2RnNUlqd0hqeHJXeUdNZFVLRGJwb1VWV3lFZEhiNTJQMkJPcjlKdzVXcEV1V09iTlhfbkFTblNVNl9Tb2NPVTFzUzI1SEE5WEIxdFNHRkJOZUdOZTNoSGhCdDVnQWttZjAxWXduQUNPU1U5enBtc0NFaGV3YzgtU1pkVXpOeV9kclJQQ3JMbnUta2MzdTc0SGl2R2kyNWpCZFMtR19NclVhc3BIYXZqV2hnX0lEamc?oc=5,Google News,"Wed, 10 Se",0
"Uganda, South Sudan, and the CAR commit to funding 1,800km cross-border road project - Business Insider Africa",https://news.google.com/rss/articles/CBMi1wFBVV95cUxORFNfNE1JcFZhUkhRWmF3b3p5alVNc0hHcjVUWTJYcWxLN19UZnNqOW94U0xqdEdxck0tUDdjNkY1V05HcGxJQ2YxZHZWdFpqQzAyRTFfLUsyYm93RTE5YXIyRUNhQkNsckpCMkd5QWdhTW1vRTRjZGxKaGFaNlU4VXdxOEFqWTcwcEhUN1VJcGpqUGJiVHZFNnhVMzVjNHQtclJJcDYyUklib2UzZlhBNVNUQzYzNVdrQ0ZpOWJRdlg4Zi1xQTVYY3VoRHA0Rnp0SUI1blpEdw?oc=5,Google News,"Tue, 27 Ma",0
Uganda Tourism Struggles: How Poor Road Infrastructure Hinders the Sector’s Growth Despite Stunning Landscapes - Travel And Tour World,https://news.google.com/rss/articles/CBMi7gFBVV95cUxPVFYwZndzZDZxcmItdm5LaWxFZ0Iwb3pULU9xdkdXWm1JVUI1RzZTYmpXMGQwWEc4QVZLMl83OTY5ZW5ta01KNllfUS1JRlBxN3FibHZ6MzJNbEV5WTRtek5tOG1PQTREcDF0bExLUVlWNGRJYTh4cjNoTlhyQVRod3dVWEdTdTBzSFZjb21na3o5WlYzWkliN3JFZE12UldDNE9CSWRzM0hnRm05SDE0THQ0cU10UVgxQ0kyWjFIdHBNVktxYjloLWlPTVY4X2ZmRDNkMWFGbE9wWDBub2hzZmJiWDc5eVJ5b2p3SzVR?oc=5,Google News,"Fri, 02 Ja",0
Afcons Infrastructure Secures €100M (₹1080 Cr) Road Project In Uganda - scanx.trade,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOMzZlQXp0VFBzWmJMNFpsMlRQdU1VZUVabEFCbUw0V1U2M3pFdEdLQ0gzZlNybWFINjE2N0R6akVnd3l4VVJuLS1rT2hGMmhkM29ZbVpwWlVod3c0OGY2Z1VJX0pldnJsUkNRbElVZUJzRUZ3MDJ5Mm5SWjZ1MG5UUFAyU2tScWIzampESk1GdWpRQVc2TEpMSE5QcUZVbXMyVnAwbXc4cXQxVUJTTURuYjhxTG56dDNPSmJjYm40bnlDZXdKWTItcQ?oc=5,Google News,"Sat, 31 Ja",0
Blogs: Museveni and Uganda’s infrastructure expansion - NewVision.co.ug,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNLWxHWEhaamdKS2pCbFVQYzd6MjRrMHFrbGNYNlBpY3RJQk12YkRnZ240Wlp4cmhWeGFTa04wYWV0RW8zT3ZHanFkVk5JMUJaTXd0dDIxRVI5a3JvRjZZYlI1a0t1bDRBOHFxanhieDFUX3RaanN3dnlWTGZtY2ZmcmVFZ0ZUTWRjUXZYMXBsRm9jd3A0WjhOdXV5V3ZyX1JOZ1BsLTNtSEI?oc=5,Google News,"Mon, 17 No",0
Uganda plans $2.34 billion borrowing for infrastructure projects - ET Infra | Latest Infrastructure News,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOUWVEUkFYa0I3VDRFX2RYY1F1b0xoY2JKMXdVdXJRbkxSaVEtdTdESjY3T1ZQdHZ0RFNyZnRmN2dCa1BkMElHWGVVNUlocS1rRTFrTy0wd3JFVl9JT3FaTC1HMXozZm9tU09HOFpXT0ZQNGE0WGVlcHJqc0s4VjczMWJqMEw3Tmc0UC1xQ3JHbXN0Skw2TXVZcUpYZWhhc0gyQ2xtNjFmUDNwSFBoYWJJZVJVVWhzSkRoX2h2cFVwbjVQUk9QODVzQzRFNkFKZjE2?oc=5,Google News,"Tue, 21 Oc",0
List of roads abandoned by contractors over non-payment - Pulse Uganda,https://news.google.com/rss/articles/CBMipAFBVV95cUxOTDlTTmN5NF82VkE4M1NKTmRzeHRlU0Y0aEpUZUpmeUxOOGtvYnQxdTRLYXZJaXBCNzJVanZWWDJPU0xSbl8yMndvaFpvdV9VR0htM2NWbGdvQzZYX1RLMXZDUlpudzA5RTUwdi1BRWZrcURhOExlNUxCeHo1TVUzRlNmTjNqSnhhSVU4TV9KMVNTc1VxaUJFZ0o5MlNSNXVqRDdDZg?oc=5,Google News,"Thu, 31 Ju",0
Uganda: Building resilient and community-responsive road infrastructure - World Bank Blogs,https://news.google.com/rss/articles/CBMisgFBVV95cUxPRkoxWHc0YmVvMEUxVlVFTDNDZUgtbWNOMTc2NzZxRkg1dDBnazYzR0EtZXl4RDFhU2plSUNPNzdHX3FQend5RGk0cFpOcGEtMWlfUGN5V0hXakFDM2kxSTZpODdOdW82V0FCY2pWVTMtblkzQ2VjenY4VTA4aUZORDdFQmVPLXp4WXdNYkZjVkMzN1Zoa21EX05JQlhwSzlNRVEyZ2dhZ3dFckRZdm9ab0dn?oc=5,Google News,"Wed, 23 Se",0
Congo and Uganda: Will new roads serve as war compensation? - DW.com,https://news.google.com/rss/articles/CBMilAFBVV95cUxQOWJoeXVlUHM4SEJuN0FyMUhXRWZjb05nVnpRemlwVHZQNVJrWWVYcWJXUURmOVA2YXRvcEVYZXZuTE90U1l5V1ZreC1LN2VTZW1hMkZ3T2FSWWlkbUlOZnhfM2QzNnVuZVA2SGVJLUM4am56alM0YmpDcnNnUmZtUXlYbW9BQVg4VlBYOFNMSElqdEs50gGUAUFVX3lxTFBsWXdheVlFU0RTdTJGOUQtQUYwUC1WcUhQcHhzYmxSNmxyWm83MmpsSGxuMFZfTnRiVDV6UGZ1V042WmNRYjh6TExONEhRa2NhQlJsdTV4VVI2QXNmSGRQZlBiejljOGpLR2JUWXZpQ2dUR1ZmVjhyRVg0TmdkV2lDeGpWR3ViX0l2RV9xWTdGQnRSUGc?oc=5,Google News,"Sun, 03 Se",0
Prioritise road construction for Uganda’s development - The Independent Uganda,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOSWJWTlFNLURxZy1QVXBGVVJKOEtxTk40eldvMnVoekdXT3JkOThTQWEzR3BxWS1HakJJUWpNMjJQaW5jMi14ZzF5T2hrS2dMclVvc3lydk9ueU9Yak13UEZIMEp1RldyWS1wUEtPLS05MWpzSHVlRjZ1QTl5S29oWnQ4T0Y0ZGNlZjF3?oc=5,Google News,"Wed, 20 Au",0
